Platform=Cloudflare One,AWS Region=us-west-1,Instance=ip-172-31-4-143,Timestamp=2025-06-03T20:02:59.715226,Public IP=104.28.233.73,"Location=San Jose, US","Network ASN=AS13335 Cloudflare, Inc.",,
TEST,DESTINATION,LOCATION,METRICS,,,,,
PING,angolacables.co.ao,"Luanda, AO",467.831,469.222,473.03,2.201,0,
PING,jumia.com.ng,"San Francisco, US",2.542,3.783,7.377,2.075,0,
PING,0.ie.pool.ntp.org,"Dublin, IE",NAms,NAms,NAms,NAms,100,
PING,safaricom.co.ke,"San Mateo, US",3.324,4.601,8.16,2.055,0,
PING,aliyun.com,"Shanghai, CN",167.898,168.968,171.383,1.404,0,
PING,rakuten.co.jp,"Tokyo, JP",107.699,108.941,112.149,1.855,0,
PING,2.kr.pool.ntp.org,"Seoul, KR",143.326,144.535,147.849,1.914,0,
PING,thairath.co.th,"San Jose, US",3.226,4.36,7.414,1.766,0,
PING,1.vn.pool.ntp.org,"Hanoi, VN",211.342,212.637,214.983,1.394,0,
PING,mimos.my,"Bukit Jalil, MY",176.031,177.015,179.679,1.54,0,
PING,arynews.tv,"Austin, US",2.256,3.851,8.167,2.497,0,
PING,hurriyet.com.tr,"Istanbul, TR",195.632,196.825,199.683,1.656,0,
PING,1.us.pool.ntp.org,"Washington, US",69.757,70.785,73.619,1.636,0,
PING,spiegel.de,"Frankfurt am Main, DE",167.084,167.787,169.668,1.087,0,
PING,lemond.fr,"Paris, FR",151.997,152.94,155.496,1.478,0,
PING,elpais.com,"San Jose, US",3.808,5.469,10.182,2.722,0,
PING,aftonbladet.se,"Seattle, US",3.261,4.303,7.272,1.714,0,
PING,wp.pl,"Gdynia, PL",170.488,171.632,174.939,1.909,0,
PING,seznam.cz,"Prague, CZ",166.255,167.272,169.93,1.536,0,
PING,cnn.gr,"Lelystad, NL",152.384,153.53,156.132,1.529,0,
PING,amazon.com,"Ashburn, US",76.39,77.391,79.464,1.23,0,
PING,google.com,"Mountain View, US",3.73,4.723,7.498,1.603,0,
PING,cbc.ca,"Santa Clara, US",3.432,4.485,7.337,1.65,0,
PING,1.cr.pool.ntp.org,"San Ramón, CR",128.239,129.338,132.424,1.781,0,
PING,3.us.pool.ntp.org,"San Jose, US",3.202,4.117,6.205,1.213,0,
PING,lapatria.bo,"Phoenix, US",22.641,23.339,25.15,1.046,0,
PING,emol.com,"Santiago, CL",162.402,163.463,166.356,1.671,0,
PING,za.yahoo.com,"San Jose, US",5.148,6.472,9.182,1.618,0,
PING,bbc.co.uk,"San Francisco, US",3.37,4.582,7.632,1.769,0,
PING,abc.net.au,"San Jose, US",3.398,4.322,6.528,1.283,0,
PING,nzherald.co.nz,"San Francisco, US",2.313,3.381,6.439,1.765,0,
PING,postcourier.com.pg,"Santa Clara, US",3.414,4.505,7.518,1.74,0,
PING,samoaobserver.ws,"San Francisco, US",2.331,3.622,7.027,1.969,0,
PING,uol.com.br,"São Paulo, BR",177.418,178.885,181.414,1.572,0,
PING,rte.ie,"San Francisco, US",2.257,3.504,6.712,1.856,0,
PING,news24.com,"San Francisco, US",2.201,3.828,7.832,2.318,0,
TRACERTE,angolacables.co.ao,"Luanda, AO",24,,,,,
TRACERTE,jumia.com.ng,"San Francisco, US",2,,,,,
TRACERTE,0.ie.pool.ntp.org,"Dublin, IE",20,,,,,
TRACERTE,safaricom.co.ke,"San Mateo, US",6,,,,,
TRACERTE,aliyun.com,"Shanghai, CN",19,,,,,
TRACERTE,rakuten.co.jp,"Tokyo, JP",18,,,,,
TRACERTE,2.kr.pool.ntp.org,"Busan, KR",11,,,,,
TRACERTE,thairath.co.th,"San Jose, US",11,,,,,
TRACERTE,1.vn.pool.ntp.org,"Hanoi, VN",15,,,,,
TRACERTE,mimos.my,"Bukit Jalil, MY",11,,,,,
TRACERTE,arynews.tv,"Austin, US",2,,,,,
TRACERTE,hurriyet.com.tr,"Istanbul, TR",18,,,,,
TRACERTE,1.us.pool.ntp.org,"Kansas City, US",13,,,,,
TRACERTE,spiegel.de,"Frankfurt am Main, DE",13,,,,,
TRACERTE,lemond.fr,"Paris, FR",21,,,,,
TRACERTE,elpais.com,"Santa Clara, US",9,,,,,
TRACERTE,aftonbladet.se,"Seattle, US",10,,,,,
TRACERTE,wp.pl,"Gdynia, PL",20,,,,,
TRACERTE,seznam.cz,"Mladá Boleslav, CZ",17,,,,,
TRACERTE,cnn.gr,"Lelystad, NL",16,,,,,
TRACERTE,amazon.com,"Ashburn, US",20,,,,,
TRACERTE,google.com,"Sunnyvale, US",9,,,,,
TRACERTE,cbc.ca,"Santa Clara, US",10,,,,,
TRACERTE,1.cr.pool.ntp.org,"San Rafael, CR",7,,,,,
TRACERTE,3.us.pool.ntp.org,"Centralia, US",13,,,,,
TRACERTE,lapatria.bo,"Phoenix, US",14,,,,,
TRACERTE,emol.com,"Santiago, CL",12,,,,,
TRACERTE,za.yahoo.com,"San Jose, US",8,,,,,
TRACERTE,bbc.co.uk,"San Francisco, US",6,,,,,
TRACERTE,abc.net.au,"San Jose, US",9,,,,,
TRACERTE,nzherald.co.nz,"San Francisco, US",2,,,,,
TRACERTE,postcourier.com.pg,"Santa Clara, US",10,,,,,
TRACERTE,samoaobserver.ws,"San Francisco, US",2,,,,,
TRACERTE,uol.com.br,"São Paulo, BR",18,,,,,
TRACERTE,rte.ie,"San Francisco, US",2,,,,,
TRACERTE,news24.com,"San Francisco, US",2,,,,,
HTTPS,https://angolacables.co.ao,"Luanda, AO",NAs,NAs,NAs,NAs,NAs,NAs
HTTPS,https://jumia.com.ng,"San Francisco, US",0.000701,0.007946,0.05963,0.272031,0.274082,NAs
HTTPS,https://egyptair.com,"Dublin, IE",0.000663,0.151675,0.20255,0.646173,0.648311,NAs
HTTPS,https://safaricom.co.ke,"San Mateo, US",0.000764,0.054776,0.105369,0.206655,0.206697,NAs
HTTPS,https://aliyun.com,"Shanghai, CN",0.00083,0.154144,0.204471,0.913842,0.918344,NAs
HTTPS,https://rakuten.co.jp,"Tokyo, JP",0.000568,0.129177,0.180004,0.427753,0.429862,NAs
HTTPS,https://naver.com,"Seoul, KR",0.000707,0.158587,0.208714,0.532857,0.534957,NAs
HTTPS,https://thairath.co.th,"San Jose, US",0.000773,0.012342,0.063115,0.110205,0.110244,NAs
HTTPS,https://vnexpress.net,"Hanoi, VN",0.000643,0.235491,0.285714,0.977336,1.662341,NAs
HTTPS,https://moh.gov.my,"Kota Bharu, MY",0.000732,0.200714,0.25205,2.367633,2.560171,NAs
HTTPS,https://arynews.tv,"Austin, US",0.000604,0.00728,0.058153,0.246025,0.486805,NAs
HTTPS,https://hurriyet.com.tr,"Istanbul, TR",0.000601,0.200839,0.251723,1.454957,1.457242,NAs
HTTPS,https://aljazeera.com,"Stockholm, SE",0.000697,0.181107,0.231785,0.97091,0.972972,NAs
HTTPS,https://spiegel.de,"Frankfurt am Main, DE",0.000596,0.179844,0.231621,0.806626,0.808654,NAs
